Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
ÊKhumtiangkohha,Phlogacanthus thyrsiformis,Acanthaceae,North-East India Medicinal Plants Database,"Abdominal pain
Ulcer",Root,Paste applied topically,Assam,"Betulic acid
Lupeol
Vasicine
pyrroloquinazoline Alkaloid.
_-Sitosterol",,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
ÊChikkpa,Phlogacanthus thyrsiflorus,Acanthaceae,North-East India Medicinal Plants Database,"Abdominal pain
Asthma
Cough/Cold
Fever",Flower,Decoction taken orally,Manipur,"(-)-Bilobalide
1-naphthalenecarboxaldehyde
19 Ðhydroxy-labda 8(17),13-diene-15,16-olide
2-hydroxy
Aritmina
Aspidocarpine
Betulic acid
Harmine
Hydroquinidine
L-Histidine
Phlogantholide
Phlogantholide-A
Sparteine
Terbutylazine-2-hydroxy
ent-labd-8(17),13-dien-15,16-olide-19-oic acid (pinusolidic acid)
phlogantholide-A-19-O-_-d-glucopyranoside
_, 15,18 -trihydroxy-ent-labd-8(17),13-dien-16-oic lactone",,Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011
Titay,Phlogacanthus pubinervis,Acanthaceae,North-East India Medicinal Plants Database,Hypertension,Flower,Taken orally,Sikkim,,,"Idrisi. M. S; et al. Indigenous knowledge and medicinal use of plants by local communities in Rangit Valley, South Sikkim, India, NeBIO Vol. 1(2), 34-45 , 2010."
ÊFenching phul,Phlogacanthus curviflorn,Acanthaceae,North-East India Medicinal Plants Database,"Cough
Fever",Leaves,Extract taken orally,Arunachal Pradesh,"Betulic acid
Lupeol
Phlogacanthollides B
Phlogacanthollides C
_-Sitosterol
_-daucosterol",,"Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011.
"
Vangvattur,Lepidagathis rigida,Acanthaceae,North-East India Medicinal Plants Database,Toothache,Leaves,Extract applied topically,Mizoram,,,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
Vangvattur,Lepidagathis incurva,Acanthaceae,North-East India Medicinal Plants Database,haemostasis,Leaves,Extract applied topically,Mizoram,,,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
Kala bashok,Justicia gendarussa,Acanthaceae,North-East India Medicinal Plants Database,Cough,Stem,Decoction taken orally,Tripura,"2-(methoxymethyl)aniline
2-Aminobenzyl alcohol
3beta-Hydroxy-20(29)-lupene
Friedlein
Phytosterols",,"Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014."
Shada bashok,Justicia adhatoda,Acanthaceae,North-East India Medicinal Plants Database,"Cough/Cold
Fever
Malarial Fever",Leaves,Decoction taken orally,Manipur,"3-Deoxyvasicine
7- Hydroxyvasicine
Adhatodine
Anisotine
Apigenin
Astragalin
Betaine
Kaempferol
Quercetin
Quinazoline Alkaloid vasicine
Triterpines (A-Amirine)
Vasicinolone
Vasicol
Vasicoline
Vasicolinone
Vitexin",,"Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.
"
Kawldai,Justica Neck.,Acanthaceae,North-East India Medicinal Plants Database,Malarial Fever,Leaves,Decoction taken orally,Mizoram,,,"Bora. U; et al. Medicinal Plants used by the People of Northeast India for Curing Malaria, Phytotherapy Research, 21, 800-804, 2007."
Sajhia,Barleria cristata,Acanthaceae,North-East India Medicinal Plants Database,Skin diseases,Whole plant,Decoction applied topically,Assam,"4-hydroxy-trans-cinnamate derivatives
4-hydroxycinnamic acid
4a, 5,6,7,7a-hexahydrocyclopetan pyran-4,7-dicaroxylate)
7-methoxy Luteolin
Acteoside
Apigenin
Apigenin-7-glucuronide
Barlerin
Desrhamnosyl Acteoside
Luteolin
Naringenin
Oleanolic acid
Poliumoside
Quercetin
Quercetin 3-b-D glucoside
Shanzhiside Methyl Ester
Shanzhiside Methyl Ester
a-tocopherol
barlacristone
barlerin (or dimethyl 5-hydroxy-7-methyl1-((2R, 3S, 4S, 6S)-3,4,5-tridroxy-6-(hydroxymethyl) tetrahydro-2H-pyran-2-yloxy)-1
cristabarlone
p-coumaric acid
_-Sitosterol",,"Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006."
Boner kalomegh,Andrographis paniculata,Acanthaceae,North-East India Medicinal Plants Database,"Ulcerative colitis
Diarrhoea
Dysentery
Jaundice
Malarial Fever
Rheumatism
Stomachache",whole plant,Extract taken orally,"Arunachal Pradesh
Manipur
Mizoram
Tripura","14-Deoxy-11- Dehydroandrographo-Lide
Andrographine
Andrographolide
Neoandrographolide
Panicoline
Paniculide A
Paniculide B
Paniculide C",,"Perme. N; et al. Medicinal Plants in Traditional Use at Arunachal Pradesh; India; International Journal of Phytopharmacy; Vol. 5 (5); 86-98; 2015.
"
Asuru,Adhatoda vasica,Acanthaceae,North-East India Medicinal Plants Database,"Cough/Cold
Cuts and wounds
Dysentery
joint pain
Lumber pain
Vomiting",Aerial Parts,Paste applied topically,"Assam
Mizoram
Nagaland
Sikkim
Tripura","1,2,3,9-tetrahydro-5-methoxy-pyrrolo[2,1-b]quinazoline-3-ol
1,2,3,9-tetrahydropyrrolo(2,1-b)-quinazolin-9-one-3Rhydroxy-3(2-dimethylamino phenyl (desmethoxyaniflorine)
29-methyltriacontan-1-ol
2Õ,4-dihydroxychalcone-4-O-_-D-glucopyranoside
2Õ-glucosyl-4-hydroxyl-oxychalcone
2Ó-O-xylosylvitexin
3-hydroxyanisotine
3-methylheptanone
37-hydroxy-hentetracontan-19-one
37-hydroxy-hexatetracont-1-en-15-one
3_-hydroxy-D-friedoolean-5-ene
3_-hydroxy-oleanane-5-ene
4-heptanone
5-methoxyvasicinone
7-methoxy-3R-hydroxy-1,2,3,9-tetrahydropyrrolo-[2,1-b]-quinazolin-9-one(7-methoxy-vasicinone)
7-methoxyvasicinone hydrate
9-Acetamido-3,4-Dihydropyrido-(3,4-B)-Indole
Adhatodic Acid
Adhatodine
Adhatonine
Adhavasinone
Amino-N-Butyric Acid
Anisotine
Apigenin
Astragalin
Betaine
D-galactose
D-glucoside
Daucosterol
Deoxyvasicine
Deoxyvasicinone
Isovitexin
Kaempferol
L-Vasicinone
L-Vasicol
Maiontone
N-oxides and glycosides of vasicine
N-oxides and glycosides of vasicinone
O-ethyl-_-D-galactoside
Peganidine
Proline
Quercetin
Rhamnosyl vitexin
Serine
Sitosterol
Sitosterol-_-D-glucoside
Tritriacontane
Valine
Vasakin
Vasicine
Vasicinol
Vasicinolone
Vasicinone
Vasicol
Vasicoline
Vasicolinone
Vasinol
Vasnetine
Violanthin
Vitexin
epitaraxerol
glycine
hydroxyl oxychalcone
_-amyrin
_-Sitosterol-D-glucoside
_-carotene
_-glucoside-galactose",,"Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006."
Tefiidziirie (Angami),Thunbergia coccinea,Acanthaceae,North-East India Medicinal Plants Database,Womb disorders,Tuber,Extract taken orally,Nagaland,Wallichinine,,"Chase. P.E; Singh. O.P. Ethnomedicinal plants used by Angami tribe of Nagaland, India. Indian Journal of Tropical Biodiversity. (1):29-42, 2013."
Vako,Thunbergia gramndiflora,Acanthaceae,North-East India Medicinal Plants Database,"Jaundice
Kidney disorder",Root,Paste taken orally,Mizoram,"(E) 3 - Eicosene
(Z) 7 tetradecenal
(Z) 9,17 octadecadienal
(Z) Ð 13- octadecenal
1 - hexadecanol
1 Ð (2,6,6 Ð trimethyl Ð 1,3,cyclohexa Ð 2 Ð buten Ð 1 Ð one
1,3,3 -trimethylbicyclo [2.2.1] heptane
2 ethyl hexyl isohexylsulphurate
2 Ð (41 Ð methoxyphenyl ) Ð 2- (31 Ð methyl - 41methoxyphenyl) propane
2 Ð chloroethyllinoleate
2 Ð formyl methyl Ð 4,6,6 Ð bicyclo [3.1.1] hept Ð 3 Ð ene
2 Ð methoxy - 3- (2 Ð propenyl) phenol
2,21, 5, 51, tetramethyl 1,11-biphenyl tetradecenal
2,3 dihydro -1,1-dimethyl 1H indene Ð 4 Ð carboxylic acid
2,7 dimethyl octane
3 - octanol
3,3 Ð dimethyl hexane
3,7 dimethyl 1,6 Ð octadien - 3 Ð ol
4 Ð (2,2- dimethyl Ð 6- methylene cyclo Ð 3 Ð buten Ð 2 -one
4 Ð (2,6,6, - trimethyl Ð 1- cyclohexen Ð 3- buten Ð 2 Ð one
6,10,14, - trimethyl Ð 2- pentadecanone
9, 10 Ð dihydodiethyl Ð anthracene Ð 9,10 Ð biimine Ð11,12- dicarboxylate
Benzo[b] thiophene Ð 3 Ð carboxylic acid
Caffeic Acid
Cis Ð 9 - hexadecenal
Decyl -2- ethyl hexyl sulphurate
Ethyl hexadecanoate
Hexadecanal
Isoquercetrin
Kaempferide 3-O- _-L-arabinofuranoside
Kaempferol
Kaempferol-3-O-_-L-rhamnopyranoside
Kaempferol-6-C-sophoroside
Methyl 11,14,17,Eicosatrienoate
Methyl salicylate
Nonylcyclopropane
Phytol
Quercetin
Quercetin-3-O-Rutinoside-7-O-_-Lrhamnopyranoside
Quercetrin
hexadecane
i Ð propyl hexadecanoate
n Ð hexadecanoic acid
n Ð pentadecanol
pentadecanal
_ phenylethylbutanoate",,"Shankar.R; et al. Medicinal plants used in traditional medicine in Mizoram, World Journal of Science and Technology, 2(12):42-45, 2012.
"
Sohliang," Gynocardia odorata
 ",ÊAchariaceae,North-East India Medicinal Plants Database,"Leprosy
lupus
Nausea
Rheumatism
scrofula
Skin diseases
Toothache",Seed,Taken orally,Meghalaya,"Alkaloid
Carbohydrate
Fixed Oil
Flavonoids
Glycosides
Protein
Saponins
Tannins
Triterpenoids",,Perme. N; et al. Medicinal Plants in Traditional Use at Arunachal Pradesh; India; International Journal of Phytopharmacy; Vol. 5 (5); 86-98; 2015.
ÊThemeprii (Angami),Acorus calamus,Acoraceae,North-East India Medicinal Plants Database,"Diarrhoea
Dysentery
Flatulence
Headache
Influenza",Rhizome,Decoction taken orally,Nagaland,"Eugenol
Tetraploid A
Triploid
_-asarone
_-asarone",,"Kayang. H; et al. Medicinal Plants of Khasi Hills of Meghalaya, India, Bioprospecting & Ethnopharmacology, 1, 75-80, 2005."
Khokochor,"Adiantum philippense
 ",ÊAdiantaceae,North-East India Medicinal Plants Database,"
abortifacient
Bone fracture",Leaves,Paste applied topically,Meghalaya,"3_-Acetoxy-21_-H-hop-22(29)ene
3_-Acetoxy-6_-hydroxy-hop-15, 17(21)-diene
6_-Acetoxy-16_,22-dihydroxy-3-ketoiso-hopane",,"Kayang. H; et al. Medicinal Plants of Khasi Hills of Meghalaya, India, Bioprospecting & Ethnopharmacology, 1, 75-80, 2005."
,,,,,,,,"(E)-cinnamoyl
3,4-Dihydroxyphenyl acetic acid
3,4-dihydroxyphenyl
5_,29-Dihydroxy alisol A
Alisol W
Alisolide A
Alisolide B
Alisolide C
Alisolide D
Alisolide E
Alisolide F
Alisolide G
Alisolide H
Alisolide I
Ferulic Acid
Plantain A
Rosmarinic Acid
Rynchopeterine A
Rynchopeterine B
Salvianolic Acid C
Vanillic Acid
cis-2,4,5-Trihydroxycinnamic acid
cis-Aconitic anhydride Ethyl Ester
dihydrofuran",,
,,,North-East India Medicinal Plants Database,,,,,,,
Hnamtur,Gelsemium elegans,Loganiaceae,North-East India Medicinal Plants,"analgesic
Inflammation",Root,Extract taken orally,Mizoram,"1-O-Caffeoylquinic acid or 4- O-Caffeoylquinic acid
11,14-Dihydroxygelsenicine
11-Methoxy-19-(R)- hydroxygelselegine
11-Methoxygelselegine
11-hydroxyhumantenine
12_-hydroxy-pregn-4,16- diene-3,20-dione
14-Acetoxy-15- hydroxygelsenicine
14-Acetoxygelsenicine
14-Hydroxygelsenicine
19-(Z)-Anhydrovobasinediol
19E-16-epi-Voacarpine
19R-Hydroxydihydrogelsemine
3-Hydroxykoumidine
4,20-Dehydrogelsemicine
6-Hydroxy-7- methoxylcoumarin
7-Deoxygelsemide or 9- Deoxygelsemide
Dehydrokoumidine
Ferulic acid
Gallic acid
Gelsemicine
Gelsemine
Gelsemine N-oxide
Gelsemiol
Gelsemiol-3-glucoside
Gelsempervine A
Gelsenicine
Gelseoxazolidinine
Gelsevirine
Humantenine
Hydroxylation of Gelsemicine
Koumidine
Koumine
Kouminol
Na-Methoxy-19(Z) anhydrovobasinediol
Nb-Methylgelsedilam
Pyrogallol
Semperoside
Sempervirine","Liu, Y; et al. Fingerprint analysis of Gelsemium elegans by HPLC followed by the targeted identification of chemical constituents using HPLC coupled with quadrupole-time-of-flight mass spectrometry. Fitoterapia 121: 94-105, 2017.","Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010"
Harchur,Viscum articulatum,Loranthaceae,North-East India Medicinal Plants,Bone fracture,Whole plant,Dried powder taken orally,Sikkim,"Betulic Acid
Betulic acid
Kasuagamycin
Oleanolic acid","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.","Idrisi. M. S; et al. Indigenous knowledge and medicinal use of plants by local communities in Rangit Valley, South Sikkim, India, NeBIO Vol. 1(2), 34-45 , 2010"
Mehedi,Lawsonia inermis,Lythraceae,North-East India Medicinal Plants,Cuts and wounds,Leaves,Paste applied topically,Tripura,"1,3-Dihydroxy-4,7-dimethoxyxanthone
1,3-Naphthalenediol
1,4-NAPHTHOQUINONE
20-Dihydroxy-30-norlupane
3,6-diacetoxy-1-hydroxy-7-methoxy-xanthen-9-one
3beta,16alpha-dihydroxy-olean-13(18)-en-28-oic acid
3beta-Hydroxy-20(29)-lupene
ALPHA-IONONE
Arachidic acid
Betulic acid
Betulic acid
Bis(Acetic Acid)
Cosmosiin
Esculetin
Eupatin
Fraxetin
Hennadiol
LAXANTHONE I
Lawsone
Luteolin
Naphthsaritone
Scopoletin
Tannins
Tilianin
lawsaritol","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.","Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014."
Labuk leiri,Rotala rotundifolia,Lythraceae,North-East India Medicinal Plants,Urinary disorder,Whole plant,Extract taken orally,Manipur,"Kaempferol
Quercetin
Quercetin 3-O-_-D-2_-Acetyl Glucuronide
Quercetin 3-O-_-D-2_-Acetyl Glucuronide Methyl Ester
Quercetin 3-O-_-D-Glucuronide
Quercetin 3-O-_-D-Glucuronide-2_-Acetate","Zhang, L; et al. Antioxidative flavonol glucuronides and anti-hbsag flavonol from Rotala rotundifolia. Journal of Traditional and Complementary Medicine 1.1: 57-63, 2011.","Rajkumari. R; et al. Ethnobotanical investigation of wild edible and medicinal plants used by the Chiru Tribe of Manipur, India, Pleione 7(1): 167 - 174. 2013."
Dhayeroo,Woodfordia fruticosa,Lythraceae,North-East India Medicinal Plants,,Flower,Dried powder taken orally,Sikkim,"1-(1-methylpiperidin-2-yl)propan-2-one
1-Octacosanol
10,11-dihydroxy-2,2,6a.6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid
6-[(1Z)-prop-1-en-1-yl]-2,3,4,5-tetrahydropyridine
9-Methyl-9-azabicyclo[3.3.1]nonan-3-one
Asiatic acid
Astragalin
Avicularin
Betulic acid
Bis(Acetic Acid)
Carotene
Cyanidin 3,5-diglucoside
Daucosterol
Delphinidin
Dl-Aspartic Acid
Ellagic Acid
Estrone
Friedlein
Galactitol
Gallic Acid
Granatin B
Hecogenin
Insulin
Isoquercitin
Isoschimawalin A
Kaempferol
Kasuagamycin
L-Ascorbic Acid
L-Glutamine
Lawsone
Malic Acid
Myricetin 3-O-_-L-Galactopyranoside
Naringenin 7-O-Beta- Glucoside
Nicotinate
Oenothein A
Oenothein B
Pectin
Pelargonin Chloride
Pelletierine
Phytosterols
Pulmatin
Punicafolin
Punicalagin
Punicalin
Tannins
Ursolic acid
Woodfordin A
Woodfordin B
Woodfordin D
Woodfordin I
alpha-Eleostearic acid
citric acid
granatin A
quercitrin
riboflavin
vakerin
woodfordin C","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.","Das. T; et al. Ethnobotanical Survey of Medicinal Plants Used by Ethnic and Rural People in Eastern Sikkim Himalayan Region, African Journal of Basic & Applied Sciences 4 (1): 16-20, 2012."
Seloam,Hibiscus rosa-sinensis,Malvaceae,North-East India Medicinal Plants,"Cuts and wounds
Infertility
Boils",Leaves,Paste taken orally/applied topically,Arunachal Pradesh,"Kaempferol-3-xylosylglucoside
Malvalic acid
Quercetin
Quercetin-3,7-diglucoside
cyanidin-3,5-diglucoside
cyaniding-3-sophoroside3-5- glucoside Quercetin-3,5-diglucoside
cyanin and cyanidin chorides
teraxerol Acetate
_-Sitosterol","Missoum, A; An update review on Hibiscus rosa sinensis phytochemistry and medicinal uses. J Ayu Herb Med 4.3: 135-46, 2018.",Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 18Ð25; 2011.
Jharubon,Sida acuta,Malvaceae,North-East India Medicinal Plants,Cuts and wounds,Leaves,Paste applied topically,Assam,"11-Methoxyquindoline Cytotoxic
2D-Hydroxyecdysone
4-Ketopinoresinol
7-Methyoxymethyl-_-tocopherol Antioxidant
Acanthoside B
Antimicrobial
Campesterol
Cholesterol
Cryptolepine Antimalarial
Crytolepinone Cytotoxic
Cytotoxic
Di-(2-ethylhexyl)phthalate
Ephedrine
Ephedrine
Evofolin A
Evofolin B
Ferulic Acid
Hentriacontane
Heraclenol
Kaempferol-3-O-_-L-rhamnopyranosyl-_-D-glucopyranoside
Kaempferol-3-O-_-D-glucopyranoside
Linoleic acid
Linoleic acid
Loliolide
Malvalic acid
Malvalic acid
Myristic acid
Myrstic acid
N-trans-Ferulolyltyramine
Nonacosane
Oleic Acid
Oleic Acid
Palmitic acid
Palmitic acid
Phytane
Pristane
Quindoline Antimicrobial
Quinodolinone Cytotoxic
Scopoletin
Sinapic Acid
Stearic acid
Stearic acid
Sterculic acid
Sterculic acid
Stigmast-7-enol(=22- dihydrospinasterol)
Stigmasterol
Syrigaresinol
Syringic acid
Taraxast-1.20(30)-dien-3-one
Taraxasterone
Tocospiro
Vanillic acid
Vasicine
Vasicinone
Vomifoliol
n-Hexacos-11-enoic acid Antimicrobial
_-Tocopherol
_-amyrin
_-Phenethylamine
_-Sitosterol
_-Tocopherol","Abat, J, K; et al. Ethnomedicinal, phytochemical and ethnopharmacological aspects of four medicinal plants of Malvaceae used in Indian traditional medicines: A review. Medicines 4.4: 75, 2017.","Purkayatha.J; et al. Ethnobotany of medicinal plants from Dibru-Saikhowa Biosphere Reserve of Northeast India, Fitoterapia 76, 121 Ð 127, 2005."
Udal,Sterculi avillosa,Malvaceae,North-East India Medicinal Plants,Urinary disorder,Root,Extract taken orally,Tripura,Sterculic acid,"U.S. Department of Agriculture, Agricultural Research Service. 1992-2016. Dr. Dukes Phytochemical and Ethnobotanical Databases. Home Page, http://phytochem.nal.usda.gov/ http://dx.doi.org/10.15482/USDA.ADC/1239279","Debbarma. M; et al.Traditional Knowledge Of Medicinal Plants In Tribes Of Tripura In Northeast, India, Afr J Tradit Complement Altern Med., 14 (4): 156-168, 2017."
That-thu,Urena lobata,Malvaceae,North-East India Medicinal Plants,Hypertension,Leaves,Decoction taken orally,Assam,"(2-hydroxy-4(1H)-quinolinone)
7 _-hydroxySitosterol
7 _-methoxySitosterol
7 _-hydroxySitosterol
Benzoic Acid
Daucosterol
Glycerol
Kaempferol3-O- _-D-glucopyranosid
L-tryptophan
Monordicophenoide A
Protocatechuic Acid
Tiliroside
_-adenosine","Shrestha, S; et al. Phytochemical constituents of the Urena lobata Fruit. Chemistry of Natural Compounds 52.1: 178-180, 2016.","Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006."
Ekkam,Phrynium capitatum,Marantaceae,North-East India Medicinal Plants,"Diabetes
Hyperglycemia",Leaves,Taken orally,Arunachal Pradesh,"Alkaloid
Flavonoids
Saponin
Tannins","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.",Perme. N; et al. Medicinal Plants in Traditional Use at Arunachal Pradesh; India; International Journal of Phytopharmacy; Vol. 5 (5); 86-98; 2015.
Eeshing yensil,Marsilea minuta,Marseliaceae,North-East India Medicinal Plants,Cuts and wounds,Whole plant,Paste applied topically,Manipur,"1,2-Benzenedicarboxylic acid
1,6,10-dodecatrien-3-ol,3,7,11-trimethy
2,4-bis (1,1-dimethylethyl)
2,6,10-Dodecatrien-1-ol,3,7,11-trimethyl-Acetate
4-ethoxy-
7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione
Acetate
Benzoic acid
Ethyl Ester
Farnesol
Octadec-9-enoic acid
Oleic Acid
Oxacycloheptadec-8-en-2-one
Phenol
Phthalic acid
Trans-Farnesol
isobutyl undecyl ester","Arokiyaraj, S; et al. Chemical composition, antioxidant activity and antibacterial mechanism of action from Marsilea minuta leaf hexane: methanol extract. Chemistry Central Journal 12.1: 1-11, 2018.","Rajkumari. R; et al. Ethnobotanical investigation of wild edible and medicinal plants used by the Chiru Tribe of Manipur, India, Pleione 7(1): 167 - 174. 2013."
Porkijale,Oxyspora paniculata,Melastomataceae,North-East India Medicinal Plants,"Antidote in snake bite
Liver disorders
Stomachache",Whole plant,Extract taken orally,Arunachal Pradesh,"14- deoxyandrographiside
14- deoxyandrographo- lide
Andrographolide
andrographiside
neoandrographolide","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.",Perme. N; et al. Medicinal Plants in Traditional Use at Arunachal Pradesh; India; International Journal of Phytopharmacy; Vol. 5 (5); 86-98; 2015.
Soh-lyngkthut,Osbeckia stellata,Melastomataceae,North-East India Medicinal Plants,"Antidote in snake bite
Cuts and wounds",Leaves,Paste applied topically,Meghalaya,,,"Kayang. H; et al. Medicinal Plants of Khasi Hills of Meghalaya, India, Bioprospecting & Ethnopharmacology, 1, 75-80, 2005."
Khukhe (Angami),Osbeckia crinita,Melastomataceae,North-East India Medicinal Plants,"Dysentery
Indigestion
Stomachache","Stem
Root","Decoction taken orally
Decoction taken orally",Nagaland,,,"Chase. P.E; Singh. O.P. Ethnomedicinal plants used by Angami tribe of Nagaland, India. Indian Journal of Tropical Biodiversity. (1):29-42, 2013."
Luiki,Melastoma malabathricum,Melastomataceae,North-East India Medicinal Plants,"Cuts and wounds
Diabetes
Dysentery
Vomiting",Leaves,Paste taken orally/applied topically,Tripura,"(-)-Epicatechin
(-)-Epicatechin gallate
1,2,4,6-Tetra-O-galloyl_D-glucoside
1,4,6-Tri-O-galloyl_-Dglucoside
1-Octyl decanoate A
11-Methyl-1-triacontanol
2,5,6-Trihydroxynaphtoic carbonic acid
2-(2-Hydroxyvinyl)-1- methyl-4-propoxyphthalate
2-Hydroxyursolic acid
32-Methyl-1-triacontanol
4-Methylpeonidin-7-O_D-glucoside
Asiatic acid
Auranamide
Beta-Alanine
Betulinic acid
Brevifolincarboxylic acid
Casuarictin
Casuarinin
Cyanidin-3,5-diglucoside
Cyanidin-3-glucoside
Ellagic acid
Flavonol glycoside derivative
Gallic acid
Glycerol 1,2-dilinolenyl-3- O-(4,6-O-isopropylidene)- _-D-galactopyranoside
Glycerol 1,2-dilinolenyl-3- O_-D-galactopyranoside
Glycerol 1,2-dilinolenyl3-O-(4,6-di-O- isopropylidene)- _-Dgalactopyranoside
Glycerol-1,2-dilinolenyl-3- O_-D-galactopyranoside
Hexacosanoic acid
Isoquercitrin 6-O-gallate
Isoquercitrin 6-O-gallate
Kaempferol
Kaempferol 3-O-(2,6-diOE-p-coumaryl)- _-Dgalactopyranoside
Kaempferol 3-O_-Dgalactopyranoside
Kaempferol-3-O-(2,6- di-O-p-trans-coumaroyl)- _-glucoside
Kaempferol-3-O-_-L-rhamnopyranoside
Kaempferol-3-O-_-D-glucopyranoside
Kaempferol-3-O-_-D-glucoside
Kaempferol-3-O_-Dxyloside
Malabathrin A
Malabathrin B
Malabathrin C
Malabathrin D
Malabathrin E
Malabathrin F
Malvidin-3,5-diglucoside
Melastomic acid
Methyl-2,5,6- trihydroxynaphtalene carbonate
Naringenin
Nobotanin B
Nobotanin D
Nobotanin J
Nobotanins H
Patriscabratine
Pedunculagin
Procyanidin B2
Procyanidin B5
Pterocarinin C
Quercetin
Quercetin-3-O-_-Lrhamnosyl-(1 _ 2)-_-Dgalactoside
Quercitrin
Rutin
Serrat-14-en-16-one
Stachyurin
Stearic acid
Stenophyllanin A
Stenophyllanin B
Strictinin
Ursolic acid
Uvaol
p-Hydroxybenzoic acid
_-amyrin
_-Sitosterol
_-Sitosterol-3-O-_-D-glucopyranoside","Joffry, S. Mohd, et al. Melastoma malabathricum (L.) smith ethnomedicinal uses, chemical constituents, and pharmacological properties: a review. Evidence-Based Complementary and Alternative Medicine 2012 2012.

Samad, N, A; et al. Ethnobotanical, phytochemical, and pharmacological aspects of Melastoma sp. Malaysian J. Med. Heal. Sci 14: 153-163, 2018.","Sajem. A. L; Gosai. K; Traditional use of medicinal plants by the Jaintia tribes in North Cachar Hills district of Assam, northeast India, Journal of Ethnobiology and Ethnomedicine, 2:33, 2006.

Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.

Meetei. S. Y; Singh. P. K; Survey for Medicinal Plants of Thoubal District, Manipur. Flora and Fauna 13 (2) 355-358, 2007."
